mirID,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63
mir11,-0.10529124,-0.130698696,-0.070453756,0.243481815,0.137406424,0.13438715,0.231337011,0.073180847,-0.010122748,0.145664573,-0.250751585,-0.214347184,-0.162301779,0.10870038,-0.101770751,-0.008005461,0.101276375,0.23893705,-0.05035625,-0.186363742,-0.018662704,0.089822531,0.123465843,0.079458438,0.684114695,-0.257622004,-0.013204595,0.084461875,-0.197444171,0.010455875,-0.160400972,-0.065026276,-0.648023486,-0.046977222,-0.029433507,-0.029229747,0.017240996,0.011596086,-0.351457536,0.273479283,0.011263565,-0.166958451,-0.321400106,-0.035592914,-0.191666245,0.159013748,0.225171134,-0.031014953,0.015213355,-0.128785536,-0.357810497,-0.174502194,-0.041133523,0.436260819,0.225065872,-0.048035979,0.249062538,-0.531550884,0.063141257,-0.10441722,-0.263144612,0.236368135,-0.082678095,-0.122378312
mir12,0.107851394,-0.177065775,-0.2588498,0.0305581,0.142499015,0.126436293,0.244608149,0.09362153,0.048007451,0.163101226,-0.03601402,-0.044901941,-0.152413428,0.154319152,-0.035410065,-0.048213914,-0.025570901,0.19080551,0.135949314,0.178724259,0.120898098,-0.047118478,0.114205897,0.067822993,0.208508492,-0.258274794,-0.090024769,0.037366319,-0.073602654,0.032150116,-0.215002999,-0.030314581,-0.526564181,-0.109287404,0.044538774,0.034521036,0.119879037,0.251192451,0.352801442,0.254067242,-0.100607745,-0.116859071,-0.533078074,-0.03138395,-0.216503769,0.195651218,-0.181799993,0.139892146,-0.151290342,-0.235975787,-0.024642654,-0.195948213,-0.017138086,0.386565208,0.015397386,0.179347456,0.2379383,-0.566902697,-0.009185103,-0.170162231,-0.28270179,0.379512042,-0.130082697,-0.294644207
mir13,0.235279679,-0.197332039,-0.127599955,0.025016459,0.162360206,0.057856049,0.214816749,0.08181911,0.074349605,0.192261308,0.054417472,0.100239083,-0.106787495,0.012919755,0.104553394,-0.074812226,0.050854117,-0.065632075,-0.020454707,0.1347882,-0.053583488,-0.311798573,0.098401614,0.012859292,0.374822706,-0.24068433,0.106292218,0.149578035,0.037176032,0.034851376,-0.110296458,-0.039039604,-0.434274375,-0.224848345,-0.050317504,0.07018543,0.235338405,0.405028164,-0.130938128,0.189191535,0.072380506,-0.026979731,-0.526459217,-0.0208156,-0.213452965,0.154143378,-0.077035695,0.105489962,0.080028124,-0.11524985,-0.267330617,-0.334269673,0.206539243,0.336213857,-0.078236498,0.011268599,0.042290121,-0.512907505,-0.079817213,-0.186400056,0.124927714,0.386206895,-0.230576113,-0.021236798
mir14,-0.18231158,-0.088336162,-0.276819766,-0.045165155,0.174612746,0.037522677,0.266672432,0.13934125,-0.063981563,0.142428875,-0.124009445,-0.008260014,-0.013612531,0.102548316,0.136385068,0.098958902,0.429531336,0.227861449,-0.119061537,-0.028376767,-0.069981694,-0.059134439,0.100709014,0.059127841,0.009326362,-0.316128641,-0.217204094,0.067665048,-0.111686759,0.054860972,-0.218904316,-0.119390927,-0.368790984,-0.151848018,-0.007827226,0.021811528,0.172422945,0.320591599,-0.352773219,0.249448061,-0.106163278,-0.000816901,-0.385090321,-0.035491802,-0.199986875,0.205977455,-0.256376207,0.082806304,0.041811563,0.002343531,-0.029192494,-0.274320304,-0.019848395,0.370241612,-0.20922552,-0.048317321,0.214259312,-0.540073335,0.197994724,-0.046336073,-0.25974384,0.324771971,-0.200976476,-0.354511559
mir15,-0.092022829,-0.123867705,-0.117443129,0.069993638,0.156380713,-0.057365533,0.254907459,0.093443356,-0.053906325,0.093762383,-0.186062455,0.128318027,-0.013273358,0.092298344,0.059194859,0.113546409,0.235572234,0.220941454,0.149164736,-0.058178231,0.011080643,-0.261630118,0.100579798,0.103249066,0.305699676,-0.274758071,-0.042464849,0.057235502,0.000510295,0.047235183,-0.192791551,-0.101467974,-0.364213675,-0.204455629,8.18E-05,-0.055963609,0.158748448,0.281797618,-0.055671267,0.220266029,-0.175717697,0.046574142,-0.374808311,-0.038753759,-0.151788786,0.142557919,-0.01996905,-0.03951415,-0.071063615,0.056073491,0.221312046,-0.282471627,-0.000386858,0.299537838,-0.231992722,0.019777689,0.184176877,-0.525732696,0.171256602,0.033018082,-0.27318117,0.35950467,-0.110486276,-0.391810954
mir16,0.108370125,-0.22468619,-0.09683232,0.041524954,0.131903559,0.142928779,0.276067555,0.117956296,-0.03879194,0.130631521,-0.157059014,-0.101569131,-0.189139515,-0.097184949,0.021266036,-0.013550419,0.45901069,-0.004621089,-0.272752434,0.04263448,-0.177434206,0.181763217,0.10842675,0.047730763,0.329183728,-0.235709503,-0.151779041,0.091024645,-0.060746938,0.038537879,-0.140850589,-0.235582024,-0.550582469,-0.202248514,-0.016023498,0.017329892,0.186030418,0.195843503,0.000694049,0.250233948,0.054566309,-0.087592237,-0.423075587,-0.014969271,-0.296368837,0.170966342,-0.137491673,-0.071607552,-0.160577953,-0.045912206,0.246869758,-0.214204341,0.114598431,0.309884965,-0.124145292,0.022603767,0.093488932,-0.478006423,0.079615936,-0.162549213,-0.267710298,0.365861386,-0.12831594,-0.009309335
mir17,0.123908915,-0.185633078,-0.098343857,0.085776307,0.166829675,0.087717772,0.230445623,0.118573621,-0.038147122,0.146978766,-0.144222364,-0.11863672,-0.176565245,-0.102355979,0.038964447,-0.047900911,0.443544567,0.02424527,-0.263662875,0.036741227,-0.166710004,0.166268006,0.108966984,-0.01287712,0.266690761,-0.249189049,-0.121709302,0.098947465,-0.065793999,0.017515175,-0.113383628,-0.275660306,-0.556152642,-0.079321161,-0.124785565,0.027860226,0.172607407,0.153477237,-0.183902934,0.269131899,0.079648569,-0.064822793,-0.501727879,-0.008148814,-0.314029247,0.174155608,-0.171808362,0.01605938,-0.05691497,-0.037492368,-0.274843127,-0.200270802,0.13978368,0.372492194,-0.060112134,-0.0290509,0.086918257,-0.486134291,0.113600343,-0.157601207,-0.241171807,0.408445805,-0.205555692,0.036122646
mir18,0.019449625,-0.181496054,-0.196553901,0.064731151,0.162397638,0.029278569,0.169959858,0.136088893,0.008924676,0.198387921,-0.014904228,0.069779627,-0.193436921,-0.040732924,0.058870181,-0.001044708,0.151529804,0.098249927,0.099232949,0.051735479,-0.007751866,-0.008731932,0.109966382,0.063715808,0.099917397,-0.217641398,-0.149175167,0.135012448,0.010706749,0.002738334,-0.146972612,-0.088458396,-0.457193404,0.150247842,-0.062788919,-0.151589006,0.34798938,0.337873399,0.049870413,0.307072043,-0.053349275,-0.04501608,-0.662001967,0.012838617,-0.262097269,0.199174568,-0.119326741,0.068079002,0.111650877,0.059813946,-0.477087945,-0.190939754,-0.037394948,0.352743655,0.006566208,0.01300366,0.073732711,-0.447277218,0.219929099,-0.204816625,-0.197119594,0.213837087,-0.159835339,-0.022213381
mir19,0.061566964,-0.157171845,-0.230267897,-0.049926437,0.149302542,-0.007122652,0.205684334,0.095836058,0.089813396,0.181705624,0.107144907,0.101031572,-0.11795532,0.1500808,-0.092070878,-0.080353737,0.350555539,-0.006152465,0.219282433,0.040381532,0.071764447,0.020615611,0.12626633,0.07597094,0.02196518,-0.361648738,-0.070825823,0.037096743,-0.008533495,0.014527388,-0.239059374,-0.086710326,-0.494882107,0.202032313,-0.097378381,-0.095194578,0.407252222,0.317765862,0.174503848,0.206156805,-0.121775694,-0.073788702,-0.539222777,-0.033754066,-0.291643381,0.203004986,-0.070553243,0.004948521,0.087048016,0.028897405,-0.307960451,-0.231790274,-0.140803128,0.541755497,0.081296302,0.055001672,0.232941285,-0.638424695,0.210292146,-0.179796249,-0.322614372,0.156471565,-0.155465081,-0.13480854
mir20,0.14563258,-0.162123427,-0.236122891,0.032450661,0.139238149,0.108163103,0.141933754,0.112779371,-0.019696523,0.133942962,-0.083220087,-0.01344663,-0.092391171,0.100470483,0.088207096,0.118619785,0.357420653,0.19766596,-0.191359356,-0.068269171,0.054695297,-0.218184873,0.125913918,0.074922822,0.377958983,-0.149817243,0.115724675,0.128565848,-0.220337734,-0.059372634,-0.224663496,-0.243610814,-0.579763412,-0.103355579,-0.174590036,-0.080582149,0.341304123,0.034550332,-0.178636685,0.206429914,0.04805794,-0.093864448,-0.437396973,0.025645273,-0.159974217,0.161404133,-0.116062306,0.164353862,0.07243973,-0.067460366,-0.221762136,-0.186152041,-0.166816533,0.319977254,0.275118858,-0.108353436,0.230442435,-0.420849353,0.013140645,-0.039211929,-0.187148154,0.397883266,-0.053127896,0.312315553
