SMID,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63
comp11,0.060195953,0.044855826,-0.806273997,-0.01705702,-0.027842516,0.3277556,-0.027506512,-0.039305944,-0.00841799,0.045631826,0.13266021,0.033327393,-0.00986532,-0.024297234,0.078996882,0.050610531,-0.047421005,-0.030386154,0.007445169,0.090492167,-0.036036611,-0.029639054,0.074128523,-0.146383777,-0.080711856,-0.229585454,-0.266598284,0.039994083,0.015054556,0.101446182,-0.002885689,0.002493306,-0.058275592,0.064485788,0.100054368,0.054825585,0.100744672,-0.04033953,-0.091534726,0.022985015,0.103084475,-0.045505136,-0.021278314,0.030912179,-0.00467566,0.405734181,0.037029129,-0.356243849,0.071939625,-0.102780357,0.071211219,-0.085286781,0.079921655,0.040380601,0.378480554,-0.047387712,0.024787424,-0.052189458,0.021752201,-0.085025042,0.030446552,0.122563861,-0.665512383,0.056952666
comp12,0.0198154,-0.058452986,-0.202103317,-0.005824724,-0.028181981,0.429987252,-0.388958037,-0.101824097,0.074418373,0.015378436,0.048401065,0.112362653,-0.012985268,-0.032310925,-0.071195468,0.00336825,-0.01455545,-0.009189033,-0.025016066,0.01027819,0.100076631,-0.119418398,0.022824818,-0.192053407,0.00301267,-0.272970706,0.049068436,0.052467842,0.067389369,0.133609384,-0.019975122,0.177622125,0.038026769,0.051530659,0.087805234,0.078330398,-0.065274976,0.004070359,-0.061052442,-0.018924708,0.287788957,0.047396369,-0.006234677,-0.017829197,0.056074109,0.312148839,-0.078334056,-0.208510518,-0.007104372,-0.002480143,0.019699305,-0.189824596,0.057132758,0.009146187,0.302054703,0.098675653,0.045186125,-0.004399563,0.052509505,-0.044036031,0.18897815,0.022777474,-0.280977398,0.053032141
comp13,-0.010966189,-0.02252459,-0.727668405,-0.014337135,-0.033512298,0.315867364,-0.256097823,-0.08159335,0.088372156,0.020675344,0.021387786,0.0317325,-0.011243449,-0.009803778,-0.005057351,0.021507358,-0.055294465,-0.092326768,-0.002195514,0.071688458,0.011654667,0.002920116,0.077943526,-0.134137288,-0.063335791,-0.210651696,-0.181259811,-3.24E-05,0.006849542,0.100455582,-0.03143537,0.012249518,-0.062259719,0.065351278,0.098410867,-0.022615839,0.02469136,0.043625355,0.021329369,0.053043559,0.110284388,-0.081770457,-0.041952953,-0.003245737,0.072511785,0.409043461,0.022418924,-0.345781147,0.072870709,-0.024912722,0.066104829,-0.055956207,-0.032056529,-0.029887576,0.376031607,0.076380752,0.045058686,-0.063116483,-0.058952756,-0.075432032,0.042869601,0.07365717,-0.636821806,0.119202629
comp14,0.066173099,-0.032474387,-0.124610849,0.007641467,-0.028070163,0.516046166,-0.048160467,0.001895246,-0.065156721,0.026563652,0.075218245,-0.035046663,-0.010897921,-0.016724216,0.047208723,-0.048802178,-0.007703491,-0.030261671,0.03047956,-4.13E-05,0.019933445,0.035645731,0.065241009,-0.230108336,-0.011633124,-0.22828646,0.050266523,0.016193846,0.006235328,0.128483564,0.045265425,0.251175582,0.033099212,0.084249899,0.084851205,0.007431319,-0.173754498,0.03240874,0.009682585,-0.009013421,0.271229059,-0.034797799,-0.021361249,-0.070489481,-0.050996996,0.28792277,-0.036316484,-0.212337032,-0.064864889,0.003811129,0.013440549,-0.098995462,0.029396635,0.036224522,0.284618229,-0.00905726,0.008887638,-0.089714952,-0.005735689,0.018018294,0.160880417,0.01838354,-0.444490671,0.041673265
comp15,0.047927722,-0.024100948,-0.903253019,-0.014890337,-0.008018325,0.284886479,-0.047620881,0.071220271,0.002937994,0.015153577,0.090162426,0.030765824,-0.006152547,0.046256073,0.049803525,0.051738095,-0.057434559,-0.080267534,-0.025062777,0.089024469,-0.173799872,0.071733594,0.07642176,-0.11835818,-0.093565486,-0.205085576,-0.545584083,0.032781903,-0.071362048,0.080768555,0.049362928,-0.068872906,-0.008931742,0.086490631,0.101901703,0.068077542,0.108903535,0.027917869,-0.023459354,0.121063687,0.101670802,-0.01224038,-0.071860008,0.044066016,0.004841192,0.466229469,0.064346008,-0.456603587,-0.11468628,-0.057334702,0.094220102,-0.061619051,0.063802622,-0.023604371,0.51201731,-0.027645737,0.015881259,-0.115950756,-0.116662391,-0.083760627,-0.047517668,0.108937643,-0.850609958,0.089591019
comp16,-0.007310299,-0.017692681,-0.719928145,-0.01625739,-0.031202788,0.283565581,-0.046785589,-0.042309035,0.018259842,0.023312693,0.114913166,0.022658436,-0.01151796,0.036653213,-0.005166347,-0.006041443,-0.047058135,-0.057722684,-0.01944058,0.066978924,-0.097564012,0.056506131,0.085763134,-0.151927561,-0.07116048,-0.228062823,-0.173471391,0.063380197,0.004326234,0.112218499,-0.046600521,0.062437143,-0.030824043,0.064182311,0.087681353,0.020117026,0.006062333,-0.065817259,-0.052979071,0.07329163,0.118358046,0.008490426,-0.01254741,0.043816071,-0.081297413,0.367480934,0.049091052,-0.321313798,-0.114021465,-0.057276513,0.060327411,-0.079982474,0.156029522,-0.00882254,0.327917278,0.023288595,0.023574088,-0.161837146,-0.054275535,0.043178201,0.06949874,0.064762905,-0.647292674,0.118070647
comp17,0.146860659,-0.020409921,-0.126177877,-0.003414579,-0.030551111,0.442108124,-0.045101363,-0.003770289,-0.094303511,0.025776058,0.075497799,0.031883292,-0.011951946,0.029261688,0.019461766,-0.065464795,-0.009922259,-0.050478488,0.174777925,0.082124807,0.032109901,0.031296525,0.031096894,-0.265956134,-0.003094648,-0.242282018,0.054025393,0.036049549,0.019971987,0.122160047,0.014052597,0.190630302,-0.018907649,0.062521599,0.076737531,0.052041903,-0.068700247,-0.06592039,-0.079840362,-0.082243301,0.297457665,0.007217763,0.114649512,0.047537833,-0.057012994,0.417646706,0.025166117,-0.186261147,-0.083293289,-0.075571127,0.015296847,-0.107200988,0.06564147,0.030986559,0.337355644,-0.000243691,0.050588187,-0.075767025,0.027919028,0.014758006,0.144417867,0.043583147,-0.296645492,-0.012473416
comp18,0.110336028,-0.346439302,-0.998166025,-0.016054343,-0.000549071,0.01206661,-0.033558238,0.242451683,-0.140451953,-0.085755616,0.018189069,-0.001190343,-0.003087561,-0.075712502,0.424571306,0.454695135,0.028382648,-0.013028133,-0.318494767,-0.03273882,-0.157846421,-0.156646669,0.007162422,-0.177982897,0.21625194,-0.146708176,-0.966825247,0.045773987,0.029385559,0.07818985,0.225803867,-0.152682051,0.032926012,0.078852087,-0.003029397,0.102016971,-0.032916028,0.017820893,-0.258381933,0.137079418,0.122246593,-0.02358195,-0.305666953,0.094778575,0.033093132,0.777830243,-0.021096956,-0.890904784,-0.179577693,-0.115725122,0.483460933,-0.056743611,0.049749903,-0.72931838,0.706507087,-0.004113232,-0.217021555,0.085226558,-0.04043223,-0.424931526,-0.88766104,0.01246927,-0.932437897,-0.016863694
comp19,0.018449446,-0.018229825,-0.725396931,-0.012829517,-0.033104096,0.298804283,-0.277748078,-0.060048051,0.009385151,0.023876539,0.051224485,0.111903816,-0.010905824,-0.008169251,0.101869188,0.041536771,-0.04096273,-0.055480208,0.006647797,0.044345256,-0.105791785,-0.057986099,0.090197146,-0.123880424,-0.030177584,-0.183935553,-0.153090581,0.018587328,0.036579169,0.095852822,-0.079030477,0.074753217,-0.046845168,0.068551779,0.093532495,-0.016648464,0.038724516,-0.038831487,-0.025534077,-0.051324502,0.112826735,-0.04783985,-0.026632229,0.005626895,-0.047342688,0.380530894,0.062245175,-0.325795949,0.058916476,-0.043720145,0.062135935,-0.103327602,0.054957055,0.007398779,0.444171637,-0.00506374,0.017365022,-0.083589219,-0.085399911,-0.037399273,0.086288862,0.091063835,-0.658164561,0.146094173
comp20,0.027564654,-0.028911112,-0.53282553,-0.014326156,-0.037791405,0.333881527,-0.045158971,-0.052809026,-0.008920217,0.026591863,0.053104237,0.01937343,-0.012664187,0.000779353,0.027603442,-0.007116912,-0.036546815,-0.062988788,-0.00041785,0.07736785,-0.026398715,0.007978252,0.10079585,-0.156200215,-0.047246002,-0.198611706,-0.017138889,0.012211358,0.040337477,0.117662907,-0.008090149,0.134865686,0.025041139,0.057262868,0.083058044,-0.008278088,-0.034058712,-0.054716963,-0.019456632,-0.036517344,0.128778428,-0.065202944,-0.052423999,0.047101267,-0.014971517,0.388564914,0.027929138,-0.278612316,0.027475132,0.00712256,0.039484054,-0.071615338,0.072181411,0.016020238,0.361066461,0.044773817,0.012276592,-0.068422794,-0.041061573,-0.016823884,0.136878133,0.059308372,-0.421922624,0.213356003
