CID,SMILES
CID:2520,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
CID:2541,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O
CID:2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
CID:2564,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
CID:2578,C(CCl)NC(=O)N(CCCl)N=O
CID:2581,CC(C1=CC2=C(C=C1)C3=C(N2)C=CC(=C3)Cl)C(=O)O
CID:2583,CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O
CID:2585,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
CID:2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
CID:2678,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
CID:2719,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
CID:2720,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2
CID:2725,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
CID:2726,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
CID:2727,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl
CID:2732,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O
CID:2733,C1=CC2=C(C=C1Cl)NC(=O)O2
CID:2749,CC1=CC(=O)N(C(=C1)C2CCCCC2)O
CID:2754,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4
CID:2756,CC1=C(N=CN1)CSCCNC(=NC)NC#N
CID:2762,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3
CID:2764,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
CID:2771,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
CID:2783,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O
CID:2795,CN(C)CCC(C1=CC=CC=C1)(C2=CC=CC=C2Cl)O
CID:2796,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl
CID:2801,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl
CID:2803,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl
CID:2812,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
CID:2818,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl
CID:2893,CC1CC(CC(C1)(C)C)OC(=O)C(C2=CC=CC=C2)O
CID:2895,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31
CID:2905,CN(C)CCOC(=O)C(C1=CC=CC=C1)C2(CCCC2)O
CID:2910,C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl
CID:2911,C1CCN(CC1)CCC(C2CCCC2)(C3=CC=CC=C3)O
CID:2913,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1
CID:2955,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
CID:2966,C1CN(CC2=CC=CC=C21)C(=N)N
CID:2968,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C
CID:2973,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O
CID:2995,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31
CID:3019,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
CID:3025,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC
